name,latitude,longitude,bikes,free,timestamp,extra
ARCHEA OLYMPIA TOWNHALL ,37.641970093372,21.6247265179469,0,0,2015-10-25 05:08:12,"{'slots': 18, 'closed': True}"
OSE SQUARE,37.6451306751397,21.6265835907833,0,8,2015-10-25 05:08:12,{'slots': 16}
DROUVA,37.6413607245254,21.6201822157163,0,0,2015-10-25 05:08:12,"{'slots': 16, 'closed': True}"
OLYMPIC ACADEMY,37.6416145354621,21.6378568146811,0,0,2015-10-25 05:08:12,"{'slots': 18, 'closed': True}"
PEZODROMOS CLEISTHENOUS,38.0132674507921,22.74938199021,0,0,2015-10-25 05:08:13,"{'slots': 8, 'closed': True}"
LYSIPPOS SQUARE,38.009047771244,22.7510624890745,0,0,2015-10-25 05:08:13,"{'slots': 8, 'closed': True}"
PEFKIAS - KATO DIMINIO,38.0241646382803,22.7351139628814,0,0,2015-10-25 05:08:13,"{'slots': 8, 'closed': True}"
SUBURBAN RAILWAY,38.0098102857666,22.7397081948914,0,0,2015-10-25 05:08:13,"{'slots': 8, 'closed': True}"
Allees,43.305313,-0.351039,9,11,2015-10-25 05:08:13,"{'status': 'online', 'uid': 17}"
Barthou,43.294804,-0.365615,7,11,2015-10-25 05:08:13,"{'status': 'online', 'uid': 6}"
Bosquet,43.297707,-0.366069,6,14,2015-10-25 05:08:13,"{'status': 'online', 'uid': 1}"
Chateau,43.29474,-0.372936,4,7,2015-10-25 05:08:13,"{'status': 'online', 'uid': 8}"
Croix du Prince,43.287224,-0.380451,15,5,2015-10-25 05:08:13,"{'status': 'online', 'uid': 18}"
Funiculaire,43.293396,-0.371321,9,13,2015-10-25 05:08:13,"{'status': 'online', 'uid': 7}"
Gare SNCF,43.29245,-0.369824,9,14,2015-10-25 05:08:13,"{'status': 'online', 'uid': 14}"
Mediatheque,43.299995,-0.368211,14,4,2015-10-25 05:08:13,"{'status': 'online', 'uid': 4}"
Parc des expositions,43.30551,-0.377247,12,10,2015-10-25 05:08:13,"{'status': 'online', 'uid': 11}"
Pierre Masse,43.314774,-0.357013,10,10,2015-10-25 05:08:13,"{'status': 'online', 'uid': 20}"
Place Clemenceau,43.29627,-0.368853,0,17,2015-10-25 05:08:13,"{'status': 'online', 'uid': 2}"
Place de la Monnaie,43.294094,-0.375918,6,14,2015-10-25 05:08:13,"{'status': 'online', 'uid': 15}"
Place Gramont,43.2963,-0.374465,15,5,2015-10-25 05:08:13,"{'status': 'online', 'uid': 9}"
Place Lyautey,43.304485,-0.366977,12,6,2015-10-25 05:08:13,"{'status': 'online', 'uid': 12}"
